iter	Passed	Remaining
966	32123	1096
967	32156	1063
968	32188	1029
969	32221	996
970	32255	963
971	32300	930
972	32341	897
973	32374	864
974	32406	830
975	32438	797
976	32475	764
977	32510	731
978	32543	698
979	32575	664
980	32608	631
981	32641	598
982	32673	565
983	32707	531
984	32739	498
985	32773	465
986	32805	432
987	32837	398
988	32869	365
989	32901	332
990	32937	299
991	32969	265
992	33002	232
993	33035	199
994	33067	166
995	33102	132
996	33134	99
997	33169	66
998	33201	33
999	33234	0
